번호,날짜,제목,블로거,URL
183,"2026-01-22","드파인연희 청약 일반 1순위, 44대 1 경쟁률로 전 타입 마감","자몽코끼리 자본주의 유치원","https://blog.naver.com/archf/224156227909"
184,"2026-01-22","서울 첫 분양 44대1, 로또청약 '드파인 연희' 성공 비결은?","세상 모든 소식을 읽어봅시다","https://blog.naver.com/chhhhoiii2/224156134604"
185,"2026-01-22","2026년 1월 부동산 시장현장분위기와 대출제한 움직임","용산막둥이 부동산 돋보기","https://blog.naver.com/cutty6815/224156140718"
186,"2026-01-22","더샵 신길센트럴시티 청약, 지금 들어가도 괜찮을까?","밸류서퍼의 경제이야기","https://blog.naver.com/money_suffer/224155973382"
187,"2026-01-22","2025년 시공능력평가순위와 주거브랜드","분당박사의 재건축 이야기","https://blog.naver.com/bddrmin/224156030623"
188,"2026-01-22","SK에코플랜트 ‘드파인 연희’, 1순위 평균 44대 1…청약... ","건설이코노미뉴스","https://blog.naver.com/cenews55/224156023495"
189,"2026-01-22","2026년 서울 아파트 분양 청약, 일정 요약 정리!","부동산알리미","https://blog.naver.com/applylabs/224156016576"
190,"2026-01-22","드파인 연희 아파트 분양일정 정보","제이하우스","https://blog.naver.com/hide37/224155990141"
191,"2026-01-22","기준가는 이제 15억과 12억 입니다. (feat.드파인연희)","좋은사람이 되어 좋은사람이 오도록","https://blog.naver.com/one-and-only_/224155881157"
192,"2026-01-22","(열정로즈) 2026년 인생을 바꿔줄 청약 예정 단지! (2025.... ","바우의 경제 정보","https://blog.naver.com/baueconomy/224137583439"
193,"2026-01-22","드파인연희 분양 총정리｜청약 일정부터 평면도·분양가... ","감자머니","https://blog.naver.com/kgh8474/224154324153"
194,"2026-01-22","[부동산 재테크] 수진1(신흥1), 신림1구역 다녀왔습니다.... ","삶에 한스푼 더하는 투자 이야기","https://blog.naver.com/joanne2014/224155861461"
195,"2026-01-22","[부동산] 드파인 연희 1순위 청약 결과ㅣ청약 경쟁률과 전망은?","맛동산","https://blog.naver.com/u2budongsan/224155855474"
196,"2026-01-22","드파인 연희, 44대 1 청약 마감 서울 첫 분양 대박 흥행","자몽코끼리 자본주의 유치원","https://blog.naver.com/archf/224155826546"
197,"2026-01-22","드파인 연희 경쟁률 37.8대1 기록! 3040이 이곳에 몰린... ","정아힘","https://blog.naver.com/health_enjoyer/224153476519"
198,"2026-01-22","2026 서울 첫 분양 드파인 연희, 고분양가 논란 속 당첨 확률... ","분양메이커","https://blog.naver.com/boonyangmaker/224155675236"
199,"2026-01-22","수도권 역세권 분양단지 총정리","오늘의창업컨설팅","https://blog.naver.com/rebonihome/224155744528"
200,"2026-01-22","드파인 연희 청약결과 분석 : 고분양가에도 완판된 3가지... ","전국 부동산 투자 타이밍","https://blog.naver.com/pinkpants_data/224155717935"
201,"2026-01-22","2026년 1월 17일 부동산 주요뉴스","'세명부동산' 항상 즐겁게 ^^","https://blog.naver.com/sm-8889/224155719940"
202,"2026-01-22","[청약정보] 청약 임박 #래미안 신방화역 엘라비네#_2월중... ","귀얇은 양똥이네","https://blog.naver.com/yhe0812/224155690487"
203,"2026-01-22","드파인 연희 청약 실수 방지 체크리스트 접수 순서부터 확정","사는게리뷰다","https://blog.naver.com/kuj0379/224155662227"
204,"2026-01-22","‘드파인 연희’ 1순위 청약, 평균 44대 1 경쟁률 기록","이승훈부동산연구소","https://blog.naver.com/realvision7/224155654837"
205,"2026-01-22","비역세권의 반전? 신축이 대세?  서대문구 드파인 연희","Project of life","https://blog.naver.com/adcomt/224155638581"
206,"2026-01-22","260121 뉴스읽기","pporory9님의블로그","https://blog.naver.com/pporory9/224155596855"
207,"2026-01-22","[민간분양] 드파인 연희 “서울인데 왜 이렇게 까다롭지?” 청약... ","고씨 분양정보","https://blog.naver.com/s7j04rlpqw1/224153211315"
208,"2026-01-22","20260122","Dream Maker","https://blog.naver.com/cntrans/224155563547"
209,"2026-01-22","연희1재개발 드파인 연희 : 조건되면 무조건 청약해야할곳... ","이사만24번째","https://blog.naver.com/gabuge/224155560091"
210,"2026-01-22","오늘 꼭 봐야 할 부동산 뉴스｜1월 21일 청약·전세·오피스 등... ","리얼바이 - 초대형 빌딩 투자로 배당 수익 만들기","https://blog.naver.com/realbuy_official/224155529626"
211,"2026-01-22","오늘의 부동산뉴스 2026.01.22(목)","2층부동산 공인중개사사무소","https://blog.naver.com/secondfloor70/224155518746"
212,"2026-01-22","'드파인 연희' 청약 열기 …강남 알짜단지 청약도 대기","경제한스푼","https://blog.naver.com/mylimkim/224155515247"
213,"2026-01-22","드파인 연희 청약 경쟁률 분석 - 역시 서울이네","오름공인중개사사무소","https://blog.naver.com/5-reum/224155503173"
214,"2026-01-22","힐스테이트 회룡역 파크뷰 "의정부 최고 위치, 대단지 신축... ","부동산 분양홍보관","https://blog.naver.com/hoony62/224155488168"
215,"2026-01-22","'드파인 연희' 1순위 청약 6655명 접수  경쟁률 44대 1","연희동 전문 부동산 '반트'","https://blog.naver.com/yeonhui_vant/224154487267"
216,"2026-01-22","연희제1구역 주택재개발정비사업조합","정보공유를 사랑합니다.","https://blog.naver.com/travelmury/224155451324"
217,"2026-01-22","올해 서울 분양 여기 다 모였다! 핵심 유망 단지 총정리","KB부동산 공식 블로그","https://blog.naver.com/kbland_official/224154710842"
218,"2026-01-22","드파인 연희","정보공유를 사랑합니다.","https://blog.naver.com/travelmury/224155444561"
219,"2026-01-22","2026.1.22","다독하는 엄마","https://blog.naver.com/dreaminget/224155444498"
220,"2026-01-22","서울 첫 분양 ‘드파인 연희’ 44대 1, 이 경쟁률의 진짜 의미","뉴스리더","https://blog.naver.com/o3o8937/224154177116"
221,"2026-01-22","드파인연희, 생각 보다 높은 청약경쟁률 당첨확인","빌딩왕의 빌딩투자","https://blog.naver.com/bdking05/224154468934"
222,"2026-01-22","광주, 국내 첫 자율주행 실증 도시로 지정돼 24시간 운행 체계... ","우리원테크 펌프·모터·감속기","https://blog.naver.com/we1tech/224155430564"
223,"2026-01-22","李대통령 "수도권 일극 깨겠다"…'5극 3특' 광역 통합 국토 구상","부자덕이 하비투스","https://blog.naver.com/tnsejr2311/224155429466"
224,"2026-01-22","8억대 이수더써밋 분양 괜찮을까? (지주택, 가격, 입지... ","이제링","https://blog.naver.com/dbfksgl/224155426221"
225,"2026-01-22","[주요뉴스] 260121","글 쓰는게 좋아서","https://blog.naver.com/moving_2/224155423557"
226,"2026-01-22","10억원 이하 아파트라도 매수해야 하나요?","오윤섭의 부자노트","https://blog.naver.com/rpartners01/224154202387"
227,"2026-01-22","- 드파인 연희 청약 접수 결과(경쟁률, 당첨자발표일)","발로 쓰는 투자 기록","https://blog.naver.com/hipsring/224154822972"
228,"2026-01-22","드파인 연희 1순위 청약지원자수 겨우 6,655명(feat.... ","순이네 부동산 상담소","https://blog.naver.com/vsuneev/224155404781"
229,"2026-01-22","[청약 경쟁률] 드파인 연희 청약 경쟁률 한눈에 보기","쭈린이의 블로그","https://blog.naver.com/bepul/224155404687"
230,"2026-01-22","마포구 재건축 최대어 성산시영 드디어 조합설립","스패너의 부동산 기록","https://blog.naver.com/spanner-/224155385085"
231,"2026-01-22","드파인 연희 청약 경쟁률과 안전자산 서울 신축 아파트","월급쟁이 재테크로 은퇴하자","https://blog.naver.com/next-door_mentor/224155365836"
232,"2026-01-22","1월 22일 부동산 뉴스","부동산,주식,뉴스, 보물찾기(010-9281-7055)","https://blog.naver.com/fr1972/224155362712"
233,"2026-01-22","서울 첫 분양부터 후끈···‘드파인 연희’ 44대 1 경쟁률로... ","강남부자연구소/서울,수도권 시행부지/강남빌딩중개","https://blog.naver.com/taewon2525/224155328801"
234,"2026-01-22","2026년 01월 22일 목요일 경제뉴스","경제적 자유, 번영으로 가는 길 평일신문의 경제 습관","https://blog.naver.com/knewspaper/224154740917"
235,"2026-01-22","분양, '공급 가뭄'에 44대 1? 드파인 연희가 던진 뜻밖의 결과","안전마진 사냥꾼, 시그널헌터","https://blog.naver.com/propvision/224154968500"
236,"2026-01-22","드파인 연희 서울 청약 경쟁률 예상 | 당첨 가능성은?","경제적 자유찾기 여행","https://blog.naver.com/0oooomoney_/224152450786"
237,"2026-01-22","10.15대책 3개월 지났는데...이재명정부 부동산정책은 실종!... ","한국과 세계의 정치 경제 인문을 종합 조망하고 분석","https://blog.naver.com/sangminusa/224155216331"
238,"2026-01-22","20억 로또가 현실이라니 아크로 드 서초 분양가 듣고 입이 안... ","모두의 경제 비즈","https://blog.naver.com/allecono/224154916398"
239,"2026-01-22","687개의 통장만 움직였다! 북오산 자이 리버블시티 1순위 미달... ","지혜의 별(G-Star) 부동산 센터","https://blog.naver.com/gstar_v1/224155062359"
240,"2026-01-21","장위10구역 서울 청약 예정단지. 착공완료, 곧 분양합니다.","청약·분양권 전문가 키네스트의 부동산 투자전략","https://blog.naver.com/blueinu1968/224155152914"
241,"2026-01-21","1월 셋째주 청약단지 - 드파인 연희","보담 - 빛나는 삶","https://blog.naver.com/lucky0910/224155153311"
242,"2026-01-21","드파인 연희 경쟁률","제 이의 라이프","https://blog.naver.com/thebluebreeze/224155148760"
243,"2026-01-21","드파인 연희, 청약판 흔들고 있다?!","밸류서퍼의 경제이야기","https://blog.naver.com/money_suffer/224155148197"
244,"2026-01-21","드파인연희 일반공급 경쟁률","보담스 블로그","https://blog.naver.com/vodams/224155106149"
245,"2026-01-21","더샵 신길센트럴시티 분양, 로또라 불리는 이유","돈길걷는 머니레시피","https://blog.naver.com/annnyria030/224155104772"
246,"2026-01-21","드파인 연희의 성공적인 분양? (feat. 아쉬운 분양가)","아박 블로그","https://blog.naver.com/pdyok/224155098138"
247,"2026-01-21","2026년 1월과 2월, 서울 지역 주요 분양 정보 총정리","경제적 자유를 위한 부동산 재테크 알짜 정보","https://blog.naver.com/skc3131/224155078765"
248,"2026-01-21","드파인연희 청약 할까말까하다 보류","Nursery Pot","https://blog.naver.com/haerinlee/224155044643"
249,"2026-01-21","드파인 연희 모델하우스 분양가","부동산 성공파트너, 가온","https://blog.naver.com/gaonrealestate-/224155033640"
250,"2026-01-21","[부동산뉴스] 1월22일(목)-"조합원 70%가 이주비대출 0원"...... ","삶터&부동산 이야기","https://blog.naver.com/amigu33/224155026009"
251,"2026-01-21","[서울 청약 정보] 드파인 연희, 1순위 초대박, 완판은 아주... ","부동산을 좋아하는 부글이(간단명료)","https://blog.naver.com/wilowby2/224155017393"
252,"2026-01-21","사우역 지엔하임 청약결과. 역시 중요한건 공급!","청약·분양권 전문가 키네스트의 부동산 투자전략","https://blog.naver.com/blueinu1968/224155004737"
253,"2026-01-21","서울 청약 지금 안 보면 손해, 고분양가에도 사람들이 몰린... ","하잉이의 블로그","https://blog.naver.com/kunja4654/224154997788"
254,"2026-01-21","“서울 청약, 다시 미쳤다” 연희에서 불 붙은 분양시장... ","연예 소개서","https://blog.naver.com/gydls0012/224154994165"
255,"2026-01-21","드파인 연희 청약경쟁률(서울특별시 서대문구 연희동 533... ","고람의 경제적 자유","https://blog.naver.com/theollie/224154980880"
256,"2026-01-21","26년 서울 아파트 입주예정지 및 입주전망지수 변화","운동.부동산,일상","https://blog.naver.com/become_rich95/224154883481"
257,"2026-01-21","드파인 연희 일반공급 청약 경쟁률 공개","미스터 청약용","https://blog.naver.com/mspick_/224154882128"
258,"2026-01-21","2026.01.21  빠뉴브","엉새엉새의 블로그","https://blog.naver.com/nationaljy/224154861332"
259,"2026-01-21","1월 21일 부동산 뉴스","나는 성장하는 투자자","https://blog.naver.com/thdthd80/224154817963"
260,"2026-01-21","왜 같은 지역인데 아파트 가격이 이렇게 차이가 나나요? 이... ","바우의 경제 정보","https://blog.naver.com/baueconomy/224154257670"
261,"2026-01-21","드파인 연희 44대1 폭발, 지금 안 가면 늦는다!","콩자반 유리네","https://blog.naver.com/jmo0163/224154724342"
262,"2026-01-21",""오늘이 가장 싸다" 시세보다 5억 비싸도 '드파인 연희'에 구름... ","부라더스","https://blog.naver.com/wlswoghd/224154806309"
263,"2026-01-21","2026년 01월 21일 수 오늘의 부동산 뉴스 TOP 5 청약 과열 세금... ","정직한 정보, 투명한 중개.","https://blog.naver.com/tong6215/224154803676"
264,"2026-01-21","드파인 연희에 6천 명 몰린 이유, 지방 청약은 왜 조용할까요","부자 감각","https://blog.naver.com/mindohyun_official/224154635244"
265,"2026-01-21","“15억 비싸다더니 결국 줄섰다”… ‘드파인 연희’ 삼킨... ",".. Uranus' shelter","https://blog.naver.com/false_face/224154785053"
266,"2026-01-21",""서울 신축 멸종 위기?" 지금 안 보면 후회할 서울 인기... ","K의 자산성장 인사이트","https://blog.naver.com/ck9981/224154760010"
267,"2026-01-21","고분양가 논란에도 ‘드파인 연희’ 청약 흥행","상상은 현실이 된다","https://blog.naver.com/astrojason/224154685738"
268,"2026-01-21","드파인연희 필요자금 총정리｜신혼특공 당첨 시 실제로 필요한... ","픽 부동산","https://blog.naver.com/theham_1027/224154669142"
269,"2026-01-21","드파인 연희 1순위 청약 결과 (44 대 1)","지방세와 잡동사니","https://blog.naver.com/xhxhrn/224154645432"
270,"2026-01-21","26년 1월 서울 첫 분양 드파인 연희 청약 결과 중도금대출자납","뫼비우스 부동산이야기","https://blog.naver.com/tnsqo88/224154638772"
271,"2026-01-21","드파인 연희 분양 경쟁률 정보 2026년 서울 첫 분양","well","https://blog.naver.com/clghd0717/224154634884"
272,"2026-01-21","20260121 매일경제","진트의 블로그","https://blog.naver.com/jint0717/224154614841"
273,"2026-01-21","드파인 연희 분양가 15억 논란/고분양가에도 청약 몰린 이유","신다의 해피하우스","https://blog.naver.com/shinda58/224154583260"
274,"2026-01-21","2026년 서울 청약 총정리｜분양 일정·물량·변수까지 한눈에..... ","별빛여행자","https://blog.naver.com/kiki1703/224154536841"
275,"2026-01-21","2026 상반기 아파트 청약 일정,아크로드서초, 오티에르반포... ","혜이지니의 여유가득 블로그!","https://blog.naver.com/chunnang00/224154526930"
276,"2026-01-21","20230121 [뉴스브리핑 요약] 왜 같은 지역인데 아파트 가격이... ","경제적 자유와 부동산","https://blog.naver.com/pparkse12/224154524790"
277,"2026-01-21","[경제] 매일경제신문읽기 챌린지 - 2026년 1월 21일 수요일","소향타로","https://blog.naver.com/llsohyangll/224154518322"
278,"2026-01-21","더샵 신길 센트럴시티 2054세대 분양정보.","아파트와 오피스텔 :1670-7078","https://blog.naver.com/hkt2020/224154466598"
279,"2026-01-21","드파인연희 1순위 경쟁률 44:1 - 59형 과열·84형 상대적 여유... ","당신의 젊은 은빛이 윤택하도록","https://blog.naver.com/youngsilver-eunsa/224154459329"
280,"2026-01-21","2026.01.21 부동산 뉴스","부동산 스토리","https://blog.naver.com/agent_shin/224154458216"
281,"2026-01-21","#드파인연희","예랑햇살농장 스마트팜 유통","https://blog.naver.com/iandgood001/224154421677"
282,"2026-01-21","올해 첫 서울 청약, 드파인 연희 경쟁률 44.1 대 1","너의 뇌리에 가쿠인","https://blog.naver.com/kaznashi/224154420853"
283,"2026-01-21","이대통령 세금규제 고려안해? 드파인 연희 경쟁률 1순위","청신호의 정지선","https://blog.naver.com/cshgaza/224154399780"
284,"2026-01-21","1월21일 부동산주요뉴스","집요기어때❓️","https://blog.naver.com/jangmi4004/224154396155"
285,"2026-01-21","연희동 '드파인 연희', 분양가 15억인데도 불티나게 팔린다","둘둘둘의 두루마리 경제지식","https://blog.naver.com/big-picture-/224154392475"
286,"2026-01-21","드파인 연희 청약ㅣ 경쟁률 국평 15억에도1순위 6655명 몰려... ","꼼지락 경제","https://blog.naver.com/ruby1311/224154381384"
287,"2026-01-21","주담대 금리 6% 시대의 역설:"이자 폭탄에도 신축은 산다... ","미다스의 불새","https://blog.naver.com/money-coin-rich/224154161632"
288,"2026-01-21","26년 1월 21일 부동산 주요뉴스","NEXUS부동산:사람과 자산,시장&가치의 연결","https://blog.naver.com/nexus_agency/224154369858"
289,"2026-01-21","44대 1 경쟁률, 드파인 연희ㅣ청약 분양가 구조 평면도 일정... ","반포동 명품 공인중개사 02-599-7788","https://blog.naver.com/5997788/224154351932"
290,"2026-01-21","[생활삼합] 2026-01-21 생활런치브리핑","생활런치브리핑","https://blog.naver.com/lunchbrief/224154254140"
291,"2026-01-21","드파인 연희 청약, 3년 뒤에는 어떤 모습일까요","모코리의 잘사는 이야기","https://blog.naver.com/mocori10/224154333823"
292,"2026-01-21","드파인연희 청약결과, 입지분석","부동산/재테크/책 이야기","https://blog.naver.com/classic-flower/224154324487"
293,"2026-01-21","1.21 부리핑 : 분당 평당 1억 시대, 서울 첫 분양 흥행 성공","전세지키미 홈큐's 부동산 인사이트","https://blog.naver.com/bigtechplus/224154325274"
294,"2026-01-21","26년 1월 21일 4컷 만화 기사","내발산동에 살고 있는 공인중개사","https://blog.naver.com/wnfod4632/224154320070"
295,"2026-01-21","5억 비싸도 '완판'…서울 신축 아파트, 'FOMO' 심리 자극하며... ","BBC 미디어센터","https://blog.naver.com/sunhoo272/224154310234"
296,"2026-01-21","드파인 연희 청약 44대 1!서대문구 부동산, 왜 이렇게 핫해?","문화촌공인중개사사무소","https://blog.naver.com/tousmi/224154302713"
297,"2026-01-21","높은 분양가에도 몰렸다… ‘드파인 연희’ 청약이 말해주는... ","드림 공인중개사 사무소","https://blog.naver.com/dream_2456/224154285541"
298,"2026-01-21","드파인 연희 청약경쟁률","잘 먹고 잘 살자!","https://blog.naver.com/cyber-zip/224154285393"
299,"2026-01-21","드파인연희 1순위 청약 경쟁률 44.1대 1","놀면뭐하니-부동산, 주식","https://blog.naver.com/hycj1025/224154284450"
300,"2026-01-21","드파인 연희 청약 경쟁률 | 서울 신축 15억대는 불패","오프로치 Log : 36.5℃","https://blog.naver.com/oh_pproach/224154283615"
301,"2026-01-21","서대문구 드파인 연희 청약결과,평균 경쟁률 44:1","오늘하루도 당신거예요","https://blog.naver.com/jjun8620/224154283262"
302,"2026-01-21","신문읽기_2026.01.21","모코리의 잘사는 이야기","https://blog.naver.com/mocori10/224154278896"
303,"2026-01-21",""오늘이 가장 싸다"…시세보다 5억 비싸도 '우르르' 몰린 이유","제이나의 재테크 플로리쉬","https://blog.naver.com/icsdream/224154275235"
304,"2026-01-21","시세보다 5억 비싸도 왕창 몰린 이유","척피니","https://blog.naver.com/borisu100m/224154269820"
305,"2026-01-21","드파인연희 평면도, 모집공고, 가격, 모델하우스... ","민친자 (배드민턴에 미친자)","https://blog.naver.com/seoyoon5312/224154266488"
306,"2026-01-21","청약정보_1월22일(목)","아파트, 부동산 부자정보, 도움 뉴스","https://blog.naver.com/beracah153/224154246312"
307,"2026-01-21","드파인 연희 청약 경쟁률 / 서울 매수 대기자들의 심정을... ","경제적 자유를 꿈꾸는 지니어스투자","https://blog.naver.com/geniusinvest/224154240587"
308,"2026-01-21","오늘의 부동산뉴스 2026.01.21(수)","2층부동산 공인중개사사무소","https://blog.naver.com/secondfloor70/224154225838"
309,"2026-01-21","오늘이 가장 싸다…5억 비싸도 줄 서는 서울 신축의 진짜 이유","부싯돌의 백억프로젝트","https://blog.naver.com/busitdol21/224154217147"
310,"2026-01-21","드파인 연희 청약, 지금 판단해야 하는 이유부터 짚습니다","주식하는 남자 쿠니네","https://blog.naver.com/zkfldb888/224154215916"
311,"2026-01-21","'드파인 연희' 1순위 청약 마감 (평균 경쟁률 44.1대 1)","진부동산 02-374-0044","https://blog.naver.com/j0070i/224154213058"
312,"2026-01-21","서울 첫 분양 흥행.... ‘드파인 연희’ 1순위 평균 44대 1…","부동산과 분양정보, 경제관련자료 제공","https://blog.naver.com/jsh5015/224154209532"
313,"2026-01-21","경제관련 뉴스 브리핑 (2026.01.21)","RE/MAX 글로벌 No1.부동산브랜드 점유율1위 인지도1위","https://blog.naver.com/hackinssa15/224154205660"
314,"2026-01-21","드파인 연희, 1순위 청약 경쟁률 정리 (연희1구역 재개발 신축... ","배우고 투자하며 살아가기","https://blog.naver.com/note281007/224154200704"
315,"2026-01-21","오늘 꼭 봐야 할 부동산 뉴스｜1월 21일 청약·전세·오피스 등... ","리얼바이 - 초대형 빌딩 투자로 배당 수익 만들기","https://blog.naver.com/realbuy_official/224154199722"
316,"2026-01-21","드파인 연희 평면도 및 분양가 청약","부동산의 매력","https://blog.naver.com/zpzp386/224153555015"
317,"2026-01-21","26.1.21 뉴스","잃지 않는 투자를 위한 기록장","https://blog.naver.com/ysw3400/224154184090"
318,"2026-01-21","2026-01 하반기 주택홈 주택청약일정","쩐내나는 블로그","https://blog.naver.com/money_36/224154177846"
319,"2026-01-21","[2026.01.21] 오늘의 부동산 뉴스 4선(서울신축분양... ","영민한 중개사의 부동산 연구소","https://blog.naver.com/ymh_realty/224154171481"
320,"2026-01-21","[속보]  "비싸도 줄 선다"  드파인 연희 8,500명 오픈런... ","경제적 자유와 리더십 코칭","https://blog.naver.com/01pkh/224154169394"
321,"2026-01-21","1월 셋째주 -부동산,경제 이야기","연희동 전문 부동산 '반트'","https://blog.naver.com/yeonhui_vant/224153047587"
322,"2026-01-21","2026.1.21. 경제동향","현민빠 부동산이야기","https://blog.naver.com/qhal34868/224154153513"
323,"2026-01-21","드파인연희","리얼한 삶 나의 노트","https://blog.naver.com/don2no1/224154151336"
324,"2026-01-21","귀한 서울 신축, 드파인 연희 청약 경쟁률을 보며... (feat.... ","자본맛 부대찌개","https://blog.naver.com/tywltywl/224154151277"
325,"2026-01-21","부동산 스터디 카페 추천게시글 및 붇옹산 프리미엄... ","붇옹산의 부동산스터디","https://blog.naver.com/asclepina/224154148342"
326,"2026-01-21","20260121-매일경제","매일 읽고, 생각을 쌓다","https://blog.naver.com/connie8/224154147380"
327,"2026-01-21","서울 첫 분양 ‘드파인 연희’ 청약, 이 가격에도 사람들이... ","캐시노트","https://blog.naver.com/hsmo335/224153984232"
328,"2026-01-21","★★2026년 1월 21일 [부동산] HOT 뉴스★★","이대에이스 공인중개사","https://blog.naver.com/nogosanace/224154141826"
329,"2026-01-21","매일 경제신문 보기 - 2026년 01월 21일(수)","온즐","https://blog.naver.com/onjeul/224154136338"
330,"2026-01-21",""입지 애매해도 서울 신축이 정답?" 5억 비싼 ‘드파인 연희’... ","경제이야기$이슈","https://blog.naver.com/clean127/224154130155"
331,"2026-01-21","1/21 부동산 뉴스 써머리","공부하는 리치","https://blog.naver.com/seoulmom/224154123661"
332,"2026-01-21","15억’ 드파인 연희, 1순위 6600명 몰려/“삼전·하이닉스... ","쩌네의 차곡차곡 모은 기억들","https://blog.naver.com/hussey89/224153887684"
333,"2026-01-21",""오늘이 가장 저렴"…시세보다 5억 비싸도 수요자 '우르르... ","jangsking님의블로그","https://blog.naver.com/jangsking/224154116848"
334,"2026-01-21","매일경제 구독 | 경제공부 편식없는 신문읽기 1월 21일... ","경제신문 가이드","https://blog.naver.com/soonoriter/224154115449"
335,"2026-01-21","SK에코 '드파인 연희', 1순위 청약률 44대 1","jangsking님의블로그","https://blog.naver.com/jangsking/224154114056"
336,"2026-01-21","2026년 1월 21일 부동산 뉴스 TOP 10 인사이트 :  “집값만... ","힐스테이트 바이올렛's Blog","https://blog.naver.com/hyunji7300/224154094987"
337,"2026-01-21","프리미엄의 끝판왕, 드파인연희가 연희동 집값 들썩이게 만든... ","엄마표영어일기","https://blog.naver.com/dururich/224153937173"
338,"2026-01-21","‘드파인 연희’ 분양 결과 정리: 6600명 몰린 이유는? (청약... ","용과장의 부동산 단상(斷想)","https://blog.naver.com/k2s7y/224153964712"
339,"2026-01-21","2026년 1월 21일 뉴스 모음(feat. 오랜만에 돌아온~~)","나도간다's 부동산으로 나눌줄 아는 부자되기","https://blog.naver.com/insightgogo/224154087487"
340,"2026-01-21","더 똘똘한 한채 열풍 강남서도 집값차 커진다 / 건물주 환상... ","츄우의 부자되기 습관","https://blog.naver.com/jun7552/224154088707"
341,"2026-01-21","드파인연희 분양가격 및 평면도와 입지분석","부동산을 이야기하는 토실한꿀돼지","https://blog.naver.com/khryukhryu00/224153050031"
342,"2026-01-21","“AI 승부는 전기요금에서 갈린다”/엔비디아 할아버지가 와도... ","캐시플로우 금융보드게임","https://blog.naver.com/attit_/224153915431"
343,"2026-01-21","드파인 연희, 3일간 8500명 몰려 - 서울 신축의 뜨거운 현장","자몽코끼리 자본주의 유치원","https://blog.naver.com/archf/224154079745"
344,"2026-01-21","2026년 1월 21일 오늘의 돈되는 뉴스","의현이의 돈공부","https://blog.naver.com/dmlgusfl/224154070727"
345,"2026-01-21","드파인연희 분양일정 공급자격 청약요건","투자하는 30대 직장인투자자","https://blog.naver.com/ghtss2/224154056149"
346,"2026-01-21","연희동의 천지개벽! 드파인연희 로또 청약 당첨 확률 높이기","짠내나는경제","https://blog.naver.com/jjaneconomy/224154030984"
347,"2026-01-21","드파인 연희 분양가 시세차익 최소 1억 이상 청약 무조건 잡기","우리 모두의 안전한 노후생활을 위하여","https://blog.naver.com/ccm3018/224153968525"
348,"2026-01-21","️ “넣어볼 걸 그랬나”…‘국평 15억’ 드파인 연희... ","어떤 즐거움","https://blog.naver.com/porche2214/224153947828"
349,"2026-01-21","2026.01.21 매일경제","JAJU","https://blog.naver.com/mudorun/224153934331"
350,"2026-01-21","인파는 ‘드파인 연희급’, 결과는 ‘미달’? 북오산 자이... ","지혜의 별(G-Star) 부동산 센터","https://blog.naver.com/gstar_v1/224153679470"
351,"2026-01-21","[청약경쟁률] 드파인 연희","다밍의 쉬운 재테크","https://blog.naver.com/superohm/224153907939"
352,"2026-01-20","'국평 15억' 드파인 연희 1순위 경쟁률 44.1대 1","roheedaddy님의 블로그","https://blog.naver.com/roheedaddy/224153876814"
353,"2026-01-20","1월 부동산 청약 정보 시흥거모 엘가 로제비앙 힐스테이트 광명... ","소망아빠의 경제이야기","https://blog.naver.com/spirituallife100/224153871910"
354,"2026-01-20","드파인 연희 분양 분석｜서북권 신축 아파트, 왜 청약이 몰릴까","부자되는찐상가 블로그","https://blog.naver.com/pjl225/224153868953"
355,"2026-01-20","66대 1 터졌다...드파인 연희 일반공급, 서대문구 청약판... ","빈티지의 경제이야기","https://blog.naver.com/vintagy/224153865121"
356,"2026-01-20","드파인 연희 신혼부부 특별공급","기록용 블로그","https://blog.naver.com/sooyeon7828/224153840842"
357,"2026-01-20","서울 국평 분양가 19억, 청약통장 해지가 답?","묘진댁의 한강뷰 입성기","https://blog.naver.com/cocolog24/224153833264"
358,"2026-01-20","드파인 연희 1순위 일반공급 청약경쟁률... ","행운만땅 대박집","https://blog.naver.com/lucky7777777_/224153820648"
359,"2026-01-20","드파인연희 59A·59B 청약 경쟁률 분석｜1순위 경쟁률 66대1... ","해일리의 생활재테크 ☀️","https://blog.naver.com/lemontea13/224153820883"
360,"2026-01-20","[부동산 뉴스]1.21(수)'더 똘똘한 한채' 열풍…강남서도 집값차... ","미라클모닝의 경제공부 노트!","https://blog.naver.com/miraclemoring_/224153430965"
361,"2026-01-20","[드파인 연희] 청약 결과 분석, 1순위 마감, 예상보다 낮았던... ","부동산·청약·재테크 정리와 해설","https://blog.naver.com/hksnim00/224153813167"
362,"2026-01-20","드파인 연희 1순위 청약 종료! 올해 첫 서울 청약 경쟁률은?","나나구구 | 20대 커플의 자산성장 이야기","https://blog.naver.com/kim_nagoo/224153808053"
363,"2026-01-20","새해 벽두부터 서울을 뒤흔든 그 이름, '드파인 연희' 완벽... ","토시리가 몽시리를 만났을때","https://blog.naver.com/monxil-tosil/224153806678"
364,"2026-01-20","서울 분양시장 이상 무","계란한판 월급쟁이 부자되기 프로젝트","https://blog.naver.com/gunbbang2810/224153803781"
365,"2026-01-20","[속보] 드파인 연희 1순위 해당지역 경쟁률 결과","베테랑부동산","https://blog.naver.com/jj-veterang/224153798114"
366,"2026-01-20","서대문구 신축아파트 ‘드파인연희’｜2026 청약 일정·분양... ","써윤로그","https://blog.naver.com/aguagu__/224153794224"
